id,artist_name,member_name,member_bday
364,오마이걸,유빈,09-09
365,오마이걸,아린,06-18
366,OnlyOneOf,나인,05-19
367,OnlyOneOf,Mill,12-15
368,OnlyOneOf,리에,08-31
369,OnlyOneOf,준지,04-06
370,OnlyOneOf,유정,09-09
371,OnlyOneOf,규빈,04-23
372,온앤오프,효진,04-22
373,온앤오프,이션,12-24
374,온앤오프,승준,01-13
375,온앤오프,와이엇,01-23
376,온앤오프,민균,11-16
377,온앤오프,유,03-16
378,WOOAH,나나,06-18
379,WOOAH,우연,04-09
380,WOOAH,소라,12-30
381,WOOAH,루시,08-31
382,WOOAH,민서,02-14
383,우주소녀,엑시,08-05
384,우주소녀,설아,01-26
385,우주소녀,보나,08-05
386,우주소녀,수빈,09-14
387,우주소녀,은서,05-27
388,우주소녀,여름,01-01
389,우주소녀,다영,05-14
390,우주소녀,연정,11-12
391,우주소녀,루다,04-06
392,우주소녀,다원,11-21
393,원어스,서호,06-07
394,원어스,이도,07-26
395,원어스,건희,06-27
396,원어스,환웅,08-26
397,원어스,시온,01-10
398,ONE PACT,종우,06-12
399,ONE PACT,성민,08-25
400,ONE PACT,태그,09-30
401,ONE PACT,예담,01-19
402,ONE PACT,제이창,03-08
403,WINNER,강승윤,01-21
404,WINNER,김진우,09-26
405,WINNER,송민호,03-30
406,WINNER,이승훈,01-11
407,위아이,장대현,02-11
408,위아이,김동한,07-03
409,위아이,유용하,01-11
410,위아이,김요한,09-22
411,위아이,강석화,12-01
412,위아이,김준서,11-20
413,YOUNITE,은호,03-25
414,YOUNITE,스티브,03-09
415,YOUNITE,은상,01-19
416,YOUNITE,형석,11-06
417,YOUNITE,우노,04-05
418,YOUNITE,DEY,06-11
419,YOUNITE,경문,06-29
420,YOUNITE,시온,10-19
421,UNIS,진현주,11-03
422,UNIS,나나,10-02
423,UNIS,젤리당카,07-22
424,UNIS,코토코,10-28
425,UNIS,방윤하,05-27
426,UNIS,엘리시아,04-18
427,UNIS,오윤아,10-07
428,UNIS,임서원,01-27
429,EVNNE,케이타,07-04
430,EVNNE,박한빈,03-01
431,EVNNE,이정현,09-11
432,EVNNE,유승언,01-02
433,EVNNE,지윤서,10-15
434,EVNNE,문정현,03-31
435,EVNNE,박지후,07-14
436,izna,마이,10-28
437,izna,방지민,05-08
438,izna,윤지윤,11-06
439,izna,코코,11-14
440,izna,유사랑,04-18
441,izna,최정은,08-04
442,izna,정세비,01-22
443,이채연,이채연,01-11
444,EPEX,위시,06-11
445,EPEX,금동현,05-14
446,EPEX,뮤,09-14
447,EPEX,아민,05-22
448,EPEX,백승,10-05
449,EPEX,에이든,01-24
450,EPEX,예왕,03-12
451,EPEX,제프,04-21
452,인피니트,김성규,04-28
453,인피니트,남우현,02-08
454,인피니트,이성열,08-27
455,인피니트,엘,03-13
456,인피니트,이성종,09-03
457,ITZY,예지,05-26
458,ITZY,리아,07-21
459,ITZY,류진,04-17
460,ITZY,채령,06-05
461,ITZY,유나,04-06
462,ZEROBASEONE,성한빈,06-13
463,ZEROBASEONE,김지웅,12-14
464,ZEROBASEONE,장하오,07-25
465,ZEROBASEONE,석매튜,05-28
466,ZEROBASEONE,김태래,07-14
467,ZEROBASEONE,리키,05-20
468,ZEROBASEONE,김규빈,08-30
469,ZEROBASEONE,박건욱,01-10
470,ZEROBASEONE,한유진,03-20
471,조유리,조유리,10-22
472,G-DRAGON,지드래곤,08-18
473,Kep1er,최유진,08-12
474,Kep1er,샤오팅,11-12
475,Kep1er,김채현,04-26
476,Kep1er,김다연,03-02
477,Kep1er,히카루,03-12
478,Kep1er,휴닝바히에,07-27
479,Kep1er,서영은,12-27
480,CRAVITY,세림,03-03
481,CRAVITY,앨런,04-26
482,CRAVITY,정모,02-05
483,CRAVITY,우빈,10-16
484,CRAVITY,원진,03-22
485,CRAVITY,민희,09-17
486,CRAVITY,형준,11-30
487,CRAVITY,태영,01-27
488,CRAVITY,성민,08-01
489,CLASS:y,지민,11-25
490,CLASS:y,선유,03-20
491,CLASS:y,형서,06-25
492,CLASS:y,혜주,12-09
493,CLASS:y,리원,01-11
494,CLASS:y,보은,02-11
495,CLASS:y,채원,06-04
496,KISS OF LIFE,쥴리,03-29
497,KISS OF LIFE,나띠,05-30
498,KISS OF LIFE,벨,03-20
499,KISS OF LIFE,하늘,05-25
500,KiiiKiii,지유,05-14
501,KiiiKiii,이솔,09-18
502,KiiiKiii,수이,04-10
503,KiiiKiii,하음,11-14
504,KiiiKiii,키야,12-18
505,KickFlip,계훈,09-16
506,KickFlip,아마루,10-21
507,KickFlip,동화,03-11
508,KickFlip,주왕,05-02
509,KickFlip,민제,05-12
510,KickFlip,케이주,10-04
511,KickFlip,동현,03-13
512,TEMPEST,한빈,01-19
513,TEMPEST,형섭,08-09
514,TEMPEST,혁,03-15
515,TEMPEST,은찬,02-27
516,TEMPEST,LEW,04-05
517,TEMPEST,태래,05-09
518,투모로우바이투게더,수빈,12-05
519,투모로우바이투게더,연준,09-13
520,투모로우바이투게더,범규,03-13
521,투모로우바이투게더,태현,02-05
522,투모로우바이투게더,휴닝카이,08-14
523,TWS,신유,11-07
524,TWS,도훈,01-30
525,TWS,영재,05-31
526,TWS,한진,01-05
527,TWS,지훈,03-28
528,TWS,경민,10-02
529,TREASURE,최현석,04-21
530,TREASURE,지훈,03-14
531,TREASURE,요시,05-15
532,TREASURE,준규,09-09
533,TREASURE,윤재혁,07-23
534,TREASURE,아사히,08-20
535,TREASURE,도영,12-04
536,TREASURE,하루토,04-05
537,TREASURE,박정우,09-28
538,TREASURE,소정환,02-18
539,TWICE,나연,09-22
540,TWICE,정연,11-01
541,TWICE,모모,11-09
542,TWICE,사나,12-29
543,TWICE,지효,02-01
544,TWICE,미나,03-24
545,TWICE,다현,05-28
546,TWICE,채영,04-23
547,TWICE,쯔위,06-14
548,FANTASY BOYS,강민서,07-22
549,FANTASY BOYS,이한빈,11-20
550,FANTASY BOYS,히카리,01-21
551,FANTASY BOYS,링치,06-04
